,,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
26,0,0.662,0.868,5,-4.025,1,0.0341,0.00882,0.00244,0.584,0.353,92.998,audio_features,6lhZLbb0czULpjb2kFryPS,spotify:track:6lhZLbb0czULpjb2kFryPS,https://api.spotify.com/v1/tracks/6lhZLbb0czULpjb2kFryPS,https://api.spotify.com/v1/audio-analysis/6lhZLbb0czULpjb2kFryPS,200645,4
27,0,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc,237735,4
28,0,0.656,0.97,6,-0.584,0,0.154,0.0186,0.000923,0.0411,0.169,149.948,audio_features,5AMWgqiJqQYhaFuAZrL9MJ,spotify:track:5AMWgqiJqQYhaFuAZrL9MJ,https://api.spotify.com/v1/tracks/5AMWgqiJqQYhaFuAZrL9MJ,https://api.spotify.com/v1/audio-analysis/5AMWgqiJqQYhaFuAZrL9MJ,199200,4
29,0,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,463CkQjx2Zk1yXoBuierM9,spotify:track:463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/tracks/463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/audio-analysis/463CkQjx2Zk1yXoBuierM9,203064,4
30,0,0.906,0.574,2,-7.022,1,0.162,0.0745,1.45e-06,0.0882,0.468,104.969,audio_features,553UdZyTgZMAReOInFjgdO,spotify:track:553UdZyTgZMAReOInFjgdO,https://api.spotify.com/v1/tracks/553UdZyTgZMAReOInFjgdO,https://api.spotify.com/v1/audio-analysis/553UdZyTgZMAReOInFjgdO,179200,4
31,0,0.811,0.775,1,-4.758,1,0.312,0.0539,0.000265,0.27,0.777,150.074,audio_features,2Kbe8piP0qYXT7D23UkVwE,spotify:track:2Kbe8piP0qYXT7D23UkVwE,https://api.spotify.com/v1/tracks/2Kbe8piP0qYXT7D23UkVwE,https://api.spotify.com/v1/audio-analysis/2Kbe8piP0qYXT7D23UkVwE,169600,4
32,0,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,audio_features,5JqZ3oqF00jkT81foAFvqg,spotify:track:5JqZ3oqF00jkT81foAFvqg,https://api.spotify.com/v1/tracks/5JqZ3oqF00jkT81foAFvqg,https://api.spotify.com/v1/audio-analysis/5JqZ3oqF00jkT81foAFvqg,169333,4
33,0,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,audio_features,79s5XnCN4TJKTVMSmOx8Ep,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,216387,4
34,0,0.698,0.895,9,-3.683,0,0.101,0.00764,0.0175,0.217,0.241,126.046,audio_features,0I3wlS5dlpw0hv5zhxN0pz,spotify:track:0I3wlS5dlpw0hv5zhxN0pz,https://api.spotify.com/v1/tracks/0I3wlS5dlpw0hv5zhxN0pz,https://api.spotify.com/v1/audio-analysis/0I3wlS5dlpw0hv5zhxN0pz,172381,4
35,0,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,6Gg1gjgKi2AK4e0qzsR7sd,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/tracks/6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/audio-analysis/6Gg1gjgKi2AK4e0qzsR7sd,189323,4
36,0,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
37,0,0.642,0.869,6,-5.271,0,0.0452,0.252,0.0288,0.0708,0.376,123.91,audio_features,2Q8fFORnsDE6I3RNvSLXSf,spotify:track:2Q8fFORnsDE6I3RNvSLXSf,https://api.spotify.com/v1/tracks/2Q8fFORnsDE6I3RNvSLXSf,https://api.spotify.com/v1/audio-analysis/2Q8fFORnsDE6I3RNvSLXSf,149032,4
38,0,0.559,0.856,0,-4.122,0,0.0621,0.00815,0.0,0.113,0.276,127.997,audio_features,32hvlKjjOhc15tnVmNk4wE,spotify:track:32hvlKjjOhc15tnVmNk4wE,https://api.spotify.com/v1/tracks/32hvlKjjOhc15tnVmNk4wE,https://api.spotify.com/v1/audio-analysis/32hvlKjjOhc15tnVmNk4wE,209062,4
39,0,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,audio_features,0PvFJmanyNQMseIFrU708S,spotify:track:0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/tracks/0PvFJmanyNQMseIFrU708S,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476,4
40,0,0.729,0.788,10,-4.832,0,0.0908,0.0703,0.0,0.115,0.857,118.039,audio_features,3GYlQmwfBDo7imFyGPhrl7,spotify:track:3GYlQmwfBDo7imFyGPhrl7,https://api.spotify.com/v1/tracks/3GYlQmwfBDo7imFyGPhrl7,https://api.spotify.com/v1/audio-analysis/3GYlQmwfBDo7imFyGPhrl7,159536,4
41,0,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,audio_features,7vrJn5hDSXRmdXoR30KgF1,spotify:track:7vrJn5hDSXRmdXoR30KgF1,https://api.spotify.com/v1/tracks/7vrJn5hDSXRmdXoR30KgF1,https://api.spotify.com/v1/audio-analysis/7vrJn5hDSXRmdXoR30KgF1,178947,4
42,0,0.713,0.84,2,-5.419,1,0.0372,0.0235,0.305,0.115,0.867,124.986,audio_features,0iQd47VJs14l8EA00PlI71,spotify:track:0iQd47VJs14l8EA00PlI71,https://api.spotify.com/v1/tracks/0iQd47VJs14l8EA00PlI71,https://api.spotify.com/v1/audio-analysis/0iQd47VJs14l8EA00PlI71,192761,4
43,0,0.85,0.838,2,-3.833,1,0.114,0.000682,0.0455,0.0348,0.726,124.026,audio_features,24mAiaFiKP55r6IITNB2As,spotify:track:24mAiaFiKP55r6IITNB2As,https://api.spotify.com/v1/tracks/24mAiaFiKP55r6IITNB2As,https://api.spotify.com/v1/audio-analysis/24mAiaFiKP55r6IITNB2As,266263,4
44,0,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69e-05,0.25,0.549,114.95,audio_features,2rUsJXt4NeeDiIU6sBvrxo,spotify:track:2rUsJXt4NeeDiIU6sBvrxo,https://api.spotify.com/v1/tracks/2rUsJXt4NeeDiIU6sBvrxo,https://api.spotify.com/v1/audio-analysis/2rUsJXt4NeeDiIU6sBvrxo,129814,4
45,0,0.442,0.619,1,-5.28,1,0.0321,0.0841,0.0,0.0889,0.382,128.318,audio_features,0rohJsT6NWsThpukt0Xxdc,spotify:track:0rohJsT6NWsThpukt0Xxdc,https://api.spotify.com/v1/tracks/0rohJsT6NWsThpukt0Xxdc,https://api.spotify.com/v1/audio-analysis/0rohJsT6NWsThpukt0Xxdc,206279,4
46,0,0.732,0.874,8,-3.158,1,0.0662,0.168,1.17e-05,0.0489,0.905,122.961,audio_features,4wosxLl0mAqhneDzya2MfY,spotify:track:4wosxLl0mAqhneDzya2MfY,https://api.spotify.com/v1/tracks/4wosxLl0mAqhneDzya2MfY,https://api.spotify.com/v1/audio-analysis/4wosxLl0mAqhneDzya2MfY,166028,4
47,0,0.727,0.749,2,-5.811,0,0.0327,0.184,0.00666,0.105,0.466,125.056,audio_features,3ydFRJUABULlXklU1M24TV,spotify:track:3ydFRJUABULlXklU1M24TV,https://api.spotify.com/v1/tracks/3ydFRJUABULlXklU1M24TV,https://api.spotify.com/v1/audio-analysis/3ydFRJUABULlXklU1M24TV,186341,4
48,0,0.805,0.904,8,-6.717,0,0.0507,0.00785,0.9,0.0396,0.501,126.0,audio_features,5KGn7C4GflN0EFMNqDmUY9,spotify:track:5KGn7C4GflN0EFMNqDmUY9,https://api.spotify.com/v1/tracks/5KGn7C4GflN0EFMNqDmUY9,https://api.spotify.com/v1/audio-analysis/5KGn7C4GflN0EFMNqDmUY9,228571,4
49,0,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,audio_features,2MbdDtCv5LUVjYy9RuGTgC,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,https://api.spotify.com/v1/tracks/2MbdDtCv5LUVjYy9RuGTgC,https://api.spotify.com/v1/audio-analysis/2MbdDtCv5LUVjYy9RuGTgC,227478,4
50,0,0.668,0.726,9,-7.512,1,0.0468,0.0387,0.0,0.134,0.453,124.075,audio_features,7CH8J4ulT49UfZwSDSkSZA,spotify:track:7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/tracks/7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/audio-analysis/7CH8J4ulT49UfZwSDSkSZA,172143,4
51,0,0.366,0.802,5,-6.695,1,0.0357,0.0228,0.644,0.248,0.23,123.889,audio_features,0yjxW8s0Uuk9uKi0Nh9B7T,spotify:track:0yjxW8s0Uuk9uKi0Nh9B7T,https://api.spotify.com/v1/tracks/0yjxW8s0Uuk9uKi0Nh9B7T,https://api.spotify.com/v1/audio-analysis/0yjxW8s0Uuk9uKi0Nh9B7T,230319,4
52,0,0.536,0.821,8,-5.353,1,0.0897,7.61e-05,0.00443,0.619,0.36,127.991,audio_features,3pFs5g6H6twH454xbaxHDM,spotify:track:3pFs5g6H6twH454xbaxHDM,https://api.spotify.com/v1/tracks/3pFs5g6H6twH454xbaxHDM,https://api.spotify.com/v1/audio-analysis/3pFs5g6H6twH454xbaxHDM,191413,4
53,0,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,audio_features,7xQAfvXzm3AkraOtGPWIZg,spotify:track:7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,149547,4
54,0,0.727,0.932,0,-5.247,1,0.098,0.00774,0.83,0.0824,0.157,132.991,audio_features,3Wf6hVbr3YWCWt9py5OzDy,spotify:track:3Wf6hVbr3YWCWt9py5OzDy,https://api.spotify.com/v1/tracks/3Wf6hVbr3YWCWt9py5OzDy,https://api.spotify.com/v1/audio-analysis/3Wf6hVbr3YWCWt9py5OzDy,453068,4
55,0,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,audio_features,4DuUwzP4ALMqpquHU0ltAB,spotify:track:4DuUwzP4ALMqpquHU0ltAB,https://api.spotify.com/v1/tracks/4DuUwzP4ALMqpquHU0ltAB,https://api.spotify.com/v1/audio-analysis/4DuUwzP4ALMqpquHU0ltAB,156498,4
56,0,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4
57,0,0.664,0.953,9,-3.794,1,0.249,0.00961,0.00665,0.263,0.21,125.679,audio_features,7sFqwdXin2bgiuElcWdtYl,spotify:track:7sFqwdXin2bgiuElcWdtYl,https://api.spotify.com/v1/tracks/7sFqwdXin2bgiuElcWdtYl,https://api.spotify.com/v1/audio-analysis/7sFqwdXin2bgiuElcWdtYl,285860,4
58,0,0.686,0.867,6,-4.396,0,0.0449,0.0397,4.18e-05,0.396,0.691,126.068,audio_features,5Rse8If81NbzXL1ARjHOTB,spotify:track:5Rse8If81NbzXL1ARjHOTB,https://api.spotify.com/v1/tracks/5Rse8If81NbzXL1ARjHOTB,https://api.spotify.com/v1/audio-analysis/5Rse8If81NbzXL1ARjHOTB,145792,4
59,0,0.899,0.894,1,-7.255,1,0.222,0.203,9.95e-05,0.0606,0.654,129.047,audio_features,0GiwV6v3AgJfdu59tj719Y,spotify:track:0GiwV6v3AgJfdu59tj719Y,https://api.spotify.com/v1/tracks/0GiwV6v3AgJfdu59tj719Y,https://api.spotify.com/v1/audio-analysis/0GiwV6v3AgJfdu59tj719Y,150635,4
60,0,0.369,0.988,4,-5.827,0,0.0624,9.65e-05,0.937,0.104,0.648,138.02,audio_features,04Xk2v2vvMetrbbWV6uVUZ,spotify:track:04Xk2v2vvMetrbbWV6uVUZ,https://api.spotify.com/v1/tracks/04Xk2v2vvMetrbbWV6uVUZ,https://api.spotify.com/v1/audio-analysis/04Xk2v2vvMetrbbWV6uVUZ,211196,4
61,0,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,180522,4
62,0,0.648,0.939,1,-3.818,0,0.343,0.0223,6.18e-05,0.163,0.277,150.061,audio_features,3iLmFedCb8sGWtLbXbY8go,spotify:track:3iLmFedCb8sGWtLbXbY8go,https://api.spotify.com/v1/tracks/3iLmFedCb8sGWtLbXbY8go,https://api.spotify.com/v1/audio-analysis/3iLmFedCb8sGWtLbXbY8go,147200,4
63,0,0.929,0.667,8,-6.789,0,0.353,0.0185,0.0,0.1,0.274,126.998,audio_features,3sKz6Sd72K0ofPWcJPPk6H,spotify:track:3sKz6Sd72K0ofPWcJPPk6H,https://api.spotify.com/v1/tracks/3sKz6Sd72K0ofPWcJPPk6H,https://api.spotify.com/v1/audio-analysis/3sKz6Sd72K0ofPWcJPPk6H,155168,4
64,0,0.78,0.828,8,-2.235,1,0.237,0.409,0.0,0.104,0.786,160.113,audio_features,6GSkLS2y4ZnnZsuRAj975K,spotify:track:6GSkLS2y4ZnnZsuRAj975K,https://api.spotify.com/v1/tracks/6GSkLS2y4ZnnZsuRAj975K,https://api.spotify.com/v1/audio-analysis/6GSkLS2y4ZnnZsuRAj975K,167898,4
65,0,0.574,0.845,8,-6.58,0,0.102,0.0468,0.783,0.327,0.336,164.011,audio_features,5qKVcFWolHOWPupR077TbN,spotify:track:5qKVcFWolHOWPupR077TbN,https://api.spotify.com/v1/tracks/5qKVcFWolHOWPupR077TbN,https://api.spotify.com/v1/audio-analysis/5qKVcFWolHOWPupR077TbN,237252,4
66,0,0.742,0.873,11,-5.792,0,0.058,0.0355,0.00017,0.217,0.557,123.016,audio_features,1x05gL9CMLZte5ZizwDGZM,spotify:track:1x05gL9CMLZte5ZizwDGZM,https://api.spotify.com/v1/tracks/1x05gL9CMLZte5ZizwDGZM,https://api.spotify.com/v1/audio-analysis/1x05gL9CMLZte5ZizwDGZM,146347,4
